age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country
57.759556,286444.97,5.181427,88.306305,0.04522774,36.817223,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.630077,288280.28,5.3204956,130.89348,0.058222625,37.187393,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.93699,264911.47,4.655873,32.69944,0.002211492,36.531822,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.129276,282049.97,4.9118905,103.87043,0.0050439755,36.767963,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.530968,286471.84,5.347731,181.05945,0.03906197,37.39366,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.99281,300787.9,5.1494684,186.35704,0.06917974,36.944675,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.242012,299570.28,5.5550394,178.01395,0.06266364,37.597702,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.473442,288538.03,5.3451757,197.5857,0.041794043,37.509876,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.70499,290588.88,5.337925,165.58124,0.03750942,37.483456,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.359604,281093.88,5.08029,57.379955,0.014963312,36.440746,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.986248,292560.9,5.4203367,190.72635,0.03770114,37.215557,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.759735,295459.1,5.3356676,263.5929,0.04286242,37.558735,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.91708,293236.56,5.340687,164.41037,0.03735681,37.23278,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.33359,305460.34,5.570776,284.08112,0.0929748,37.574112,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.07795,277975.6,5.0973663,73.17547,0.031294163,36.731564,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.05622,286371.0,5.291623,67.330055,0.015022479,36.364338,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.06354,288726.34,5.266834,180.56442,0.028166123,37.57383,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
56.90971,302725.25,5.6748123,238.29117,0.10540228,37.05603,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.61339,298739.78,5.426578,221.10721,0.034234457,37.139603,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.78635,283357.4,5.1693234,119.18287,0.02663986,37.082813,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.76243,284422.25,5.241681,212.70937,0.056702994,37.309597,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.39964,301158.72,5.5842137,195.89243,0.08789324,37.564568,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.794056,299455.34,5.5006056,281.17438,0.025921742,37.30726,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.468475,283925.53,5.320271,231.3761,0.04764742,37.759697,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.952408,291708.7,5.250093,203.45633,0.013150865,37.19892,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.42434,281395.7,5.1680293,107.866425,0.0044608386,37.212257,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.479427,271865.3,4.86482,76.606316,0.004950135,36.805897,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.543957,290681.97,5.166421,158.71411,0.011883835,37.24912,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
60.05866,292603.72,5.1031227,86.766426,0.004318804,36.627018,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.33614,302447.72,5.614524,331.18274,0.061193023,37.962357,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.323933,306422.2,5.5157833,262.57407,0.031818025,37.114666,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.089264,287162.0,5.426728,265.3713,0.045874648,37.2396,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.484745,262095.88,4.6735854,28.474224,0.0011264886,35.95004,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.3381,296955.1,5.396406,108.40364,0.009741571,37.2765,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.373474,285694.16,5.1607437,76.7748,0.005236928,37.095596,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.714695,297525.97,5.3931565,256.16833,0.05700467,37.99636,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.167793,283379.62,5.1126447,155.0898,0.031952094,36.709614,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
56.84808,293999.4,5.508807,287.32056,0.16242445,37.769524,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
60.28102,263226.38,4.80876,28.59027,0.00030069493,37.028744,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.11846,279305.2,5.0690145,53.419697,0.007379052,36.968678,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.516876,281035.38,5.0609217,109.331696,0.010749154,37.227703,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
56.638626,298036.38,5.6157813,253.99376,0.20675862,37.48924,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.753227,285764.88,5.2258916,131.84268,0.025723403,37.038494,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.878696,294328.22,5.416202,200.61801,0.05267789,37.71915,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.2937,296209.1,5.487114,294.70227,0.064164564,37.847008,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.70236,290750.12,5.41637,184.12285,0.025017513,37.26806,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.39057,293242.22,5.4474893,194.09909,0.07080447,37.787155,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.467327,289159.56,5.2431083,118.867355,0.033512045,37.492863,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.443768,292037.56,5.297989,174.68085,0.0127769755,36.200123,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.805984,281131.44,5.0447845,103.28748,0.012373565,37.06063,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.271893,280830.5,5.0420103,59.851078,0.0037768923,36.27715,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.005592,286737.03,5.153027,125.20523,0.028978785,37.703503,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.841824,284890.78,5.220512,119.06277,0.014197942,37.49537,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.46635,303398.5,5.473105,230.41034,0.043477114,37.692917,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
60.23315,282371.84,4.7930517,37.490963,0.0005294883,36.454357,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.699078,286842.3,5.2978077,195.10522,0.030102486,37.770535,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.132587,278024.8,5.0646753,65.35994,0.0054529486,36.719265,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.20057,290637.3,5.267567,84.65104,0.020728264,36.808735,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.79274,281582.97,5.0926595,62.865547,0.008967034,36.84039,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.7949,273219.4,4.995792,101.70906,0.007902853,36.516045,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.255447,297475.0,5.3445654,208.83249,0.049730685,37.389957,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.48853,286528.3,5.1739106,94.73302,0.012880932,37.19085,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.15265,276328.16,4.8099995,91.13342,0.0038805113,36.9872,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.42638,303439.75,5.4950986,304.07938,0.060082182,37.50088,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.614574,291629.66,4.958189,101.498276,0.007772641,36.390934,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.33369,297848.34,5.488224,250.819,0.057120968,37.910824,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.57247,294933.62,5.461533,213.39638,0.067991324,37.90694,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.725594,285701.47,5.263605,152.7856,0.021780407,36.905933,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.683838,283797.44,5.0621305,178.48026,0.005944218,36.923615,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
60.124527,258515.52,4.542472,16.00818,0.0006198025,35.29001,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.285667,298710.3,5.366929,168.96686,0.017508961,36.579994,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
